Age,Gender,Freq
0,1,-89
1,1,-103
2,1,-87
3,1,-113
4,1,-112
5,1,-135
6,1,-173
7,1,-199
8,1,-172
9,1,-158
10,1,-197
11,1,-239
12,1,-227
13,1,-255
14,1,-215
15,1,-145
16,1,-108
17,1,-126
18,1,-115
19,1,-101
20,1,-104
21,1,-124
22,1,-113
23,1,-129
24,1,-108
25,1,-110
26,1,-108
27,1,-132
28,1,-127
29,1,-154
30,1,-123
31,1,-179
32,1,-190
33,1,-188
34,1,-212
35,1,-227
36,1,-229
37,1,-265
38,1,-252
39,1,-252
40,1,-267
41,1,-300
42,1,-256
43,1,-315
44,1,-300
45,1,-298
46,1,-313
47,1,-310
48,1,-328
49,1,-370
50,1,-414
51,1,-389
52,1,-416
53,1,-363
54,1,-353
55,1,-406
56,1,-378
57,1,-405
58,1,-408
59,1,-440
60,1,-363
61,1,-406
62,1,-413
63,1,-403
64,1,-354
65,1,-324
66,1,-285
67,1,-263
68,1,-242
69,1,-274
70,1,-263
71,1,-273
72,1,-340
73,1,-341
74,1,-326
75,1,-326
76,1,-359
77,1,-342
78,1,-359
79,1,-367
80,1,-344
81,1,-367
82,1,-371
83,1,-418
84,1,-405
85,1,-362
86,1,-360
87,1,-348
88,1,-289
89,1,-229
90,1,-193
91,1,-185
92,1,-125
93,1,-117
94,1,-61
95,1,-41
96,1,-43
97,1,-28
98,1,-14
99,1,-7
100,1,-8
101,1,-5
102,1,-7
103,1,-2
104,1,0
106,1,0
108,1,-1
113,1,-1
114,1,-4
115,1,-5
0,2,57
1,2,75
2,2,68
3,2,69
4,2,81
5,2,87
6,2,99
7,2,97
8,2,75
9,2,81
10,2,98
11,2,89
12,2,42
13,2,44
14,2,31
15,2,23
16,2,25
17,2,40
18,2,35
19,2,44
20,2,48
21,2,47
22,2,38
23,2,35
24,2,39
25,2,48
26,2,33
27,2,45
28,2,40
29,2,53
30,2,45
31,2,63
32,2,63
33,2,73
34,2,78
35,2,60
36,2,108
37,2,78
38,2,92
39,2,76
40,2,86
41,2,90
42,2,75
43,2,98
44,2,99
45,2,103
46,2,111
47,2,113
48,2,127
49,2,152
50,2,204
51,2,206
52,2,244
53,2,263
54,2,294
55,2,338
56,2,324
57,2,390
58,2,374
59,2,394
60,2,424
61,2,387
62,2,442
63,2,403
64,2,415
65,2,431
66,2,405
67,2,373
68,2,346
69,2,378
70,2,425
71,2,483
72,2,552
73,2,555
74,2,588
75,2,662
76,2,648
77,2,642
78,2,722
79,2,750
80,2,704
81,2,714
82,2,702
83,2,755
84,2,708
85,2,690
86,2,574
87,2,504
88,2,519
89,2,411
90,2,345
91,2,321
92,2,231
93,2,191
94,2,130
95,2,94
96,2,74
97,2,47
98,2,31
99,2,25
100,2,18
101,2,10
102,2,4
103,2,2
104,2,4
106,2,2
108,2,0
113,2,2
114,2,7
115,2,3