Age,Gender,Freq,
0,1,-23,-1
1,1,-22,
2,1,-33,
3,1,-40,
4,1,-48,
5,1,-56,
6,1,-59,
7,1,-73,
8,1,-86,
9,1,-54,
10,1,-78,
11,1,-105,
12,1,-132,
13,1,-186,
14,1,-201,
15,1,-344,
16,1,-462,
17,1,-719,
18,1,-1638,
19,1,-1400,
20,1,-1217,
21,1,-966,
22,1,-821,
23,1,-748,
24,1,-707,
25,1,-664,
26,1,-613,
27,1,-568,
28,1,-464,
29,1,-524,
30,1,-532,
31,1,-515,
32,1,-563,
33,1,-540,
34,1,-506,
35,1,-468,
36,1,-465,
37,1,-482,
38,1,-447,
39,1,-437,
40,1,-426,
41,1,-435,
42,1,-391,
43,1,-433,
44,1,-434,
45,1,-483,
46,1,-476,
47,1,-427,
48,1,-459,
49,1,-474,
50,1,-493,
51,1,-462,
52,1,-476,
53,1,-528,
54,1,-453,
55,1,-484,
56,1,-512,
57,1,-471,
58,1,-515,
59,1,-470,
60,1,-506,
61,1,-497,
62,1,-489,
63,1,-452,
64,1,-433,
65,1,-422,
66,1,-372,
67,1,-310,
68,1,-287,
69,1,-294,
70,1,-347,
71,1,-341,
72,1,-370,
73,1,-371,
74,1,-377,
75,1,-361,
76,1,-361,
77,1,-312,
78,1,-287,
79,1,-291,
80,1,-237,
81,1,-206,
82,1,-193,
83,1,-188,
84,1,-182,
85,1,-150,
86,1,-135,
87,1,-94,
88,1,-73,
89,1,-43,
90,1,-30,
91,1,-21,
92,1,-16,
93,1,-10,
94,1,-12,
95,1,-2,
96,1,-3,
97,1,-1,
98,1,-2,
99,1,-2,
101,1,0,
102,1,-1,
103,1,-1,
113,1,0,
114,1,-2,
115,1,-4,
118,1,-1,
119,1,-1,
0,2,23,
1,2,27,
2,2,41,
3,2,29,
4,2,34,
5,2,35,
6,2,44,
7,2,34,
8,2,44,
9,2,41,
10,2,52,
11,2,50,
12,2,42,
13,2,70,
14,2,113,
15,2,134,
16,2,247,
17,2,307,
18,2,611,
19,2,674,
20,2,626,
21,2,514,
22,2,448,
23,2,392,
24,2,330,
25,2,293,
26,2,291,
27,2,292,
28,2,277,
29,2,242,
30,2,258,
31,2,289,
32,2,304,
33,2,251,
34,2,269,
35,2,276,
36,2,284,
37,2,232,
38,2,248,
39,2,215,
40,2,232,
41,2,269,
42,2,242,
43,2,249,
44,2,274,
45,2,313,
46,2,301,
47,2,317,
48,2,347,
49,2,342,
50,2,412,
51,2,440,
52,2,460,
53,2,507,
54,2,538,
55,2,522,
56,2,571,
57,2,546,
58,2,564,
59,2,574,
60,2,597,
61,2,584,
62,2,579,
63,2,539,
64,2,530,
65,2,487,
66,2,459,
67,2,422,
68,2,364,
69,2,349,
70,2,360,
71,2,352,
72,2,345,
73,2,300,
74,2,316,
75,2,314,
76,2,276,
77,2,245,
78,2,183,
79,2,208,
80,2,158,
81,2,126,
82,2,112,
83,2,96,
84,2,87,
85,2,58,
86,2,60,
87,2,42,
88,2,28,
89,2,24,
90,2,11,
91,2,8,
92,2,5,
93,2,6,
94,2,6,
95,2,3,
96,2,1,
97,2,0,
98,2,0,
99,2,0,
101,2,1,
102,2,0,
103,2,1,
113,2,4,
114,2,4,
115,2,6,
118,2,1,
119,2,0,